fraction_invested,n_invested,port_anr,avg_anr,total_dollar_return,default_rate_invested,policy
0.7400078700320423,39492,0.02439391851031078,0.020695644928713227,58055951.65004711,0.12306289881494986,default_scoring
0.7499953154571177,40025,0.02403272623597832,0.020397278908061436,58917268.96612797,0.12402248594628357,default_scoring
0.7600014990537224,40559,0.02400187214141421,0.0202895048290088,59949271.19337323,0.12490446016913632,default_scoring
0.7700076826503269,41093,0.02354834524220726,0.019907418548183488,60739111.73537812,0.12627454797654103,default_scoring
0.7799951280754024,41626,0.022859502666561848,0.019434766796343844,61460077.04685414,0.1276605967424206,default_scoring
0.790001311672007,42160,0.02252743298597147,0.019114802777697927,62365409.14118025,0.12905597722960152,default_scoring
0.8000074952686117,42694,0.022213419977285903,0.01877564417030191,63455535.53528066,0.13006511453600036,default_scoring
0.8099949406936872,43227,0.022256763837147395,0.018825228221174026,64747912.72433835,0.13077474726444122,default_scoring
0.8200011242902917,43761,0.021672317229406508,0.01827773120884435,65612900.68095518,0.1321039281552067,default_scoring
0.8300073078868964,44295,0.02123192872364767,0.017974202630198395,66694934.97588558,0.1334913647138503,default_scoring
0.8399947533119718,44828,0.020526798602569344,0.017267893310652187,67770696.90884411,0.1350495226197912,default_scoring
0.8500009369085765,45362,0.02026629937877398,0.016966723086802343,69082878.68965726,0.1359507958202901,default_scoring
0.8600071205051811,45896,0.0200451010877908,0.016651060333476256,70409332.0225364,0.13696182673871363,default_scoring
0.8699945659302565,46429,0.019727483172309043,0.016277532942109426,71807556.39042583,0.13831872321178573,default_scoring
0.8800007495268611,46963,0.019423322949866817,0.01596206263800661,73048880.23527265,0.13947149883951196,default_scoring
0.8900069331234658,47497,0.019442685190273347,0.015936067973547845,74550535.79690894,0.14038781396719793,default_scoring
0.8999943785485413,48030,0.018701175360663812,0.015286109052786304,75539496.1315199,0.1420778679991672,default_scoring
0.9100005621451459,48564,0.01826411010655581,0.014910854941393645,76669818.36349085,0.14389259533811052,default_scoring
0.9200067457417506,49098,0.017873894532184263,0.014572865997542806,78149874.7032638,0.14528086683775307,default_scoring
0.9299941911668259,49631,0.017098191126628314,0.013983908047821294,79290288.26684716,0.1472265318047188,default_scoring
0.9400003747634306,50165,0.01619256530930862,0.013277131621598555,80342712.64509115,0.14928735173926044,default_scoring
0.9500065583600352,50699,0.01586018707972731,0.013060360764438997,81954533.7558015,0.15085110159963708,default_scoring
0.9599940037851107,51232,0.015338187232017186,0.012609951241410669,83548673.3340203,0.1525999375390381,default_scoring
0.9700001873817153,51766,0.014320192824208707,0.011969865877614115,84903558.0840418,0.15485067418769077,default_scoring
0.9800063709783199,52300,0.013667638253294324,0.011490296034987177,86491283.91296913,0.15688336520076482,default_scoring
0.9899938164033953,52833,0.01232205613128773,0.010778439669386037,87780018.48563729,0.15919974258512673,default_scoring
1.0,53367,0.01117231409170668,0.009996987051196345,89129647.04861924,0.1619727546985965,default_scoring
0.010006183596604643,534,0.06548751155654713,0.06894323500523442,1959319.5583582479,0.08614232209737828,profit_scoring
0.019993629021680063,1067,0.060035976646305216,0.06009652522546096,3524495.5098632076,0.07497656982193064,profit_scoring
0.02999981261828471,1601,0.05420831627422394,0.05431609719769332,4866917.13757569,0.07682698313554029,profit_scoring
0.04000599621488935,2135,0.05329134664032485,0.05243750640281452,6107225.914067389,0.07587822014051522,profit_scoring
0.049993441639964775,2668,0.04907529472006087,0.04861346027339898,7183998.433962702,0.07983508245877062,profit_scoring
0.05999962523656942,3202,0.04661566960012163,0.04651852192027527,8282449.134878241,0.08057464084946908,profit_scoring
0.07000580883317406,3736,0.045280508025107795,0.04510131456059088,9338668.270858083,0.07949678800856531,profit_scoring
0.07999325425824948,4269,0.04352509434648978,0.04325167065835886,10392308.268182138,0.08034668540641836,profit_scoring
0.08999943785485412,4803,0.0428474404356292,0.04270342390288079,11478749.410183955,0.08015823443681033,profit_scoring
0.10000562145145876,5337,0.04357290822188634,0.04243958442191299,12585760.763455898,0.08038223721191681,profit_scoring
0.10999306687653419,5870,0.04258656189255524,0.04155641588076914,13453912.393626595,0.08109028960817717,profit_scoring
0.11999925047313884,6404,0.04303042634537016,0.04168875983230627,14569019.674334051,0.08010618363522798,profit_scoring
0.13000543406974346,6938,0.0429917224705433,0.04125214204088079,15602653.191860585,0.0815797059671375,profit_scoring
0.1399928794948189,7471,0.0412500551294477,0.03970574651855228,16437679.178566692,0.08379065720787043,profit_scoring
0.14999906309142355,8005,0.041021078575650294,0.03940899054847738,17435925.6775401,0.0834478450968145,profit_scoring
0.16000524668802818,8539,0.0408510094669497,0.03903751577491383,18443296.54862324,0.0837334582503806,profit_scoring
0.1699926921131036,9072,0.04153287844483484,0.03971289634571094,19611913.012935445,0.08355379188712522,profit_scoring
0.17999887570970824,9606,0.0417220473351773,0.03971500175480625,20678605.337779995,0.0841140953570685,profit_scoring
0.1900050593063129,10140,0.04128642389151197,0.03948560775553172,21684684.130443484,0.08402366863905325,profit_scoring
0.1999925047313883,10673,0.0415145815364589,0.039334161546289395,22637471.090683237,0.08348168275086668,profit_scoring
0.20999868832799296,11207,0.040632011900167284,0.03850291033352167,23513954.64749887,0.08512536807352547,profit_scoring
0.2200048719245976,11741,0.04046270941286906,0.03822614639023501,24385397.92871251,0.08568265054083979,profit_scoring
0.22999231734967301,12274,0.04062784764754596,0.03829690887811215,25423760.23750678,0.08505784585302265,profit_scoring
0.23999850094627767,12808,0.04076610060087219,0.03853886307514775,26399889.67508533,0.08557151780137415,profit_scoring
0.2500046845428823,13342,0.0406937940902732,0.03853120319038164,27311036.147218727,0.08551941238195174,profit_scoring
0.25999212996795773,13875,0.04047434306712108,0.03849370646901921,28160215.390250728,0.08612612612612612,profit_scoring
0.2699983135645624,14409,0.0400719001987587,0.0380114678785421,29013824.010988966,0.0871677423832327,profit_scoring
0.280004497161167,14943,0.03956654735374131,0.03745446243795847,29795294.453804858,0.08766646590376766,profit_scoring
0.28999194258624245,15476,0.0392399377699259,0.03701481072232331,30574138.49128488,0.08858878263117084,profit_scoring
0.2999981261828471,16010,0.038645158514292594,0.03637960497313156,31254036.38366054,0.08950655840099937,profit_scoring
0.3100043097794517,16544,0.03827525684011068,0.03594455602814541,31992004.637774434,0.09048597678916828,profit_scoring
0.31999175520452716,17077,0.038245729256098294,0.035906591981416665,32890673.09056587,0.09053112373367687,profit_scoring
0.32999793880113176,17611,0.038121766592396605,0.03582767258156886,33802895.71096788,0.09107943898699676,profit_scoring
0.3400041223977364,18145,0.037612509210728534,0.03519320185873603,34579576.91308398,0.09269771286855884,profit_scoring
0.3499915678228119,18678,0.037404337950584884,0.03501117165100836,35434617.64240612,0.09299710889816896,profit_scoring
0.3599977514194165,19212,0.0370663149097967,0.03469266462077085,36293298.84530617,0.09421195086404331,profit_scoring
0.37000393501602113,19746,0.037125669360880714,0.03471027060206639,37176099.437346086,0.09485465410716094,profit_scoring
0.37999138044109654,20279,0.03685942490603967,0.034396912997420676,37956426.38961727,0.0953202820651906,profit_scoring
0.3899975640377012,20813,0.036761649142496626,0.034226820655805,38769957.77816122,0.09575745928025753,profit_scoring
0.40000374763430585,21347,0.03677338550855619,0.03436146062239244,39686618.396678746,0.09575115941350072,profit_scoring
0.40999119305938125,21880,0.036865382984358326,0.03437450163713192,40622291.68545316,0.09606946983546617,profit_scoring
